ORDER_ID,CUSTOMER_NAME,PRODUCT_NAME,PRODUCT_CATEGORY,ORDER_CITY,ORDER_STATE,ORDER_COUNTRY,SALES_CHANNEL,PAYMENT_METHOD,FEEDBACK,SALE_AMOUNT,DISCOUNT,ORDER_DATE,SHIPPING_DATE
ORD-1041,Rahul Kulkarni,HP Laptop,Electronics,Memphis,TN,USA,Marketplace,Credit Card,Very Satisfied,555.24,9.78,2025-11-16,2025-11-17
ORD-1042,Rohini Mehta,Whey Protein,Sports & Fitness,Richmond,AR,USA,Retail,Debit Card,Satisfied,109.52,11.18,2024-12-04,2024-12-07
ORD-1043,Gaurav Rao,Realme Buds,Electronics,Richmond,CT,USA,Retail,COD,**Good**,1092.11,13.04,2026-05-13,2026-05-17
ORD-1044,Kavya Mukherjee,Zero to One,Books,Springfield,AZ,USA,Retail,Wallet,##Excellent##,872.82,10.51,2025-04-16,2025-04-18
ORD-1045,Abhishek Chopra,Dell Monitor,Electronics  ,Springfield,MO,USA,Retail,UPI,****Very Satisfied****,1059.13,12.3,2026-03-16,2026-03-21
ORD-1046,Swati Chatterjee  ,Canon Camera,Electronics,Portland,TN,USA,Marketplace,Net Banking,Neutral,1943.99,12.68,2024-09-09,2024-09-11
ORD-1047,Geeta Reddy  ,OnePlus 12,Electronics,Memphis,TN,USA,Marketplace,COD,Neutral,409.8,1.2,2024-08-28,2024-09-02
ORD-1048,Suresh Shetty,Bose Headphones,Electronics,Richmond,CT,USA,Online,Credit Card,Neutral,1304.6,16.25,2024-03-29,2024-04-05
ORD-1049,Aarti Iyer  ,Badminton Racket,Sports & Fitness,Springfield,MI,USA,Marketplace,Debit Card,Satisfied,658.68,9.38,2025-05-26,2025-05-31
ORD-1050,Divya Kulkarni,Puma Sneakers,Fashion  ,Springfield,MI,USA,Marketplace,UPI,Satisfied,2008.55,9.86,2024-09-01,2024-09-05
ORD-1051,Deepak Nair,Canon Camera,Electronics,Richmond,UT,USA,Marketplace,UPI,##Excellent##,2421.7,17.44,2025-09-22,2025-09-25
ORD-1052,Tanu Mehta  ,Levi Jeans,Fashion,Memphis,IA,USA,Marketplace,Credit Card,--Average--,147.45,6.14,2024-12-26,2024-12-30
ORD-1053,Vikas Bhat,Ray-Ban Aviator,Fashion,Rochester,NY,USA,Marketplace,Credit Card,**Good**,1153.34,19.68,2024-09-23,2024-09-27
ORD-1054,Meera Sethi,Canon Camera,Electronics,Memphis,OR,USA,Retail,COD,Dissatisfied,1203.33,5.08,2024-08-06,2024-08-13
ORD-1055,Abhishek Menon,Instant Pot,Home & Kitchen,Richmond,NV,USA,Marketplace,Credit Card,Satisfied,1655.82,5.84,2024-04-14,2024-04-20
ORD-1056,   Aarti Srivastava,Havells Fan,Home & Kitchen,Portland,MS,USA,Online,Credit Card,Very Satisfied,625.5,2.6,2025-05-10,2025-05-12
ORD-1057,Gaurav Chopra  ,Bose Headphones,Electronics,Springfield,TN,USA,Online,Credit Card,Satisfied,1609.82,5.82,2025-05-09,2025-05-13
ORD-1058,Priya Tiwari,JBL Speaker,Electronics  ,Portland,WI,USA,Marketplace,Wallet,****Very Satisfied****,816.28,18.85,2026-06-09,2026-06-13
ORD-1059,Arjun Kulkarni,Titan Raga,Fashion,Memphis,TN,USA,Retail,COD,--Average--,2298.54,18.08,2025-04-09,2025-04-10
ORD-1060,Meera Sethi,Sony TV,Electronics,Cleveland,OH,USA,Retail,Net Banking,Neutral,87.99,0.99,2026-06-07,2026-06-11
ORD-1061,   Sweta Kumar,Lenovo ThinkPad,Electronics,Portland,MN,USA,Retail,COD,****Very Satisfied****,997.1,16.32,2024-03-23,2024-03-30
ORD-1062,Gaurav Bose,Logitech MX Master 3,Electronics,Columbus,OH,USA,Retail,Credit Card,Dissatisfied,328.32,2.85,2025-07-15,2025-07-17
ORD-1063,   Shubham Chandra  ,Havells Fan,Home & Kitchen,Memphis,MI,USA,Marketplace,Net Banking,Very Satisfied,821.67,3.65,2025-03-15,2025-03-16
ORD-1064,Monali Pandey,Nike Air Max,Fashion,Cincinnati,OH,USA,Retail,COD,Dissatisfied,1376.15,3.93,2025-05-05,2025-05-12
ORD-1065,   Deepak Agarwal,Dumbbells Set,Sports & Fitness,Springfield,AR,USA,Wholesale,COD,Neutral,373.55,4.62,2024-08-09,2024-08-14
ORD-1066,Tanu Banerjee,Sony TV,Electronics,Memphis,AR,USA,Retail,Credit Card,##Excellent##,879.6,2.44,2025-05-11,2025-05-17
ORD-1067,Sakshi Ghosh,Logitech MX Master 3,Electronics,Spokane,WA,USA,Wholesale,COD,****Very Satisfied****,2038.51,10.87,2025-07-19,2025-07-23
ORD-1068,Fatima Jain,Titan Raga,Fashion,Memphis,IN,USA,Online,Net Banking,Neutral,1214.33,7.98,2024-04-16,2024-04-21
ORD-1069,Rajesh Bajaj,Titan Raga,Fashion,Portland,CT,USA,Retail,Net Banking,**Good**,860.53,9.79,2025-11-05,2025-11-10
ORD-1070,Nisha Sen,Dumbbells Set,Sports & Fitness,Richmond,CT,USA,Online,COD,Very Satisfied,815.09,7.12,2026-05-11,2026-05-15
ORD-1071,Bhavna Ghosh,HP Laptop,Electronics,Portland,MA,USA,Retail,COD,****Very Satisfied****,303.62,9.95,2024-12-30,2025-01-05
ORD-1072,Disha Kapoor,Sapiens,Books,Richmond,IN,USA,Marketplace,COD,Dissatisfied,1581.73,1.26,2024-01-11,2024-01-16
ORD-1073,Meenakshi Joshi,Havells Fan,Home & Kitchen,New York,NY,USA,Retail,Credit Card,**Good**,2111.01,15.16,2024-09-08,2024-09-13
ORD-1074,Deepak Mehta,Levi Jeans,Fashion  ,Springfield,KS,USA,Wholesale,Debit Card,Dissatisfied,1021.84,8.83,2026-06-13,2026-06-18
ORD-1075,Nikhil Khanna,Godrej Fridge,Home & Kitchen  ,Portland,NE,USA,Marketplace,COD,**Good**,1486.39,13.29,2024-07-26,2024-07-29
ORD-1076,Vikram Arora,Dell Monitor,Electronics,Memphis,MA,USA,Marketplace,Credit Card,Neutral,2301.8,15.15,2026-06-02,2026-06-08
ORD-1077,Ritika Pandey,Nivea Cream,Health & Personal Care,San Jose,CA,USA,Online,UPI,Dissatisfied,1196.37,3.11,2026-03-20,2026-03-25
ORD-1078,Arjun Hegde,Cricket Bat,Sports & Fitness  ,San Antonio,TX,USA,Marketplace,Net Banking,--Average--,421.83,1.41,2024-11-01,2024-11-04
ORD-1079,   Sanjay Gupta,Samsung Galaxy S21,Electronics,Memphis,AR,USA,Marketplace,UPI,Neutral,1063.41,17.24,2024-02-05,2024-02-10
ORD-1080,Ravi Joshi  ,Lenovo ThinkPad,Electronics,Memphis,AZ,USA,Online,Net Banking,***Outstanding***,1743.54,5.04,2026-01-18,2026-01-24
ORD-1081,Deepak Chandra,Allen Solly Shirt,Fashion,Pittsburgh,PA,USA,Marketplace,Credit Card,***Outstanding***,1568.2,6.1,2024-09-22,2024-09-28
ORD-1082,Nikhil Deshpande,The Lean Startup,Books,Boulder,CO,USA,Online,Debit Card,Dissatisfied,2469.04,17.51,2025-08-28,2025-09-03
ORD-1083,Saurabh Venkat,Dettol Sanitizer,Health & Personal Care,Naperville,IL,USA,Online,Wallet,**Good**,483.32,0.43,2024-08-30,2024-09-03
ORD-1084,   Rohan Chatterjee,Titan Raga,Fashion,Cleveland,OH,USA,Retail,UPI,****Very Satisfied****,1612.81,1.99,2025-09-15,2025-09-17
ORD-1085,Kunal Menon,Prestige Cooker,Home & Kitchen,Memphis,NC,USA,Retail,Debit Card,Neutral,505.63,4.75,2025-01-01,2025-01-03
ORD-1086,Komal Kulkarni,Canon Camera,Electronics,Springfield,WI,USA,Online,Debit Card,Satisfied,2265.75,16.34,2025-03-13,2025-03-15
ORD-1087,Aman Pillai,JBL Speaker,Electronics,Richmond,OK,USA,Online,Net Banking,**Good**,2148.84,15.18,2026-02-19,2026-02-22
ORD-1088,Shubham Mukherjee  ,Whey Protein,Sports & Fitness,Richmond,NM,USA,Marketplace,COD,**Good**,947.75,12.5,2024-11-02,2024-11-03
ORD-1089,Megha Bose,The Lean Startup,Books,Springfield,NC,USA,Wholesale,UPI,Dissatisfied,80.66,11.56,2026-06-01,2026-06-04
ORD-1090,Vishal Srivastava,LOreal Shampoo,Health & Personal Care,Philadelphia,PA,USA,Wholesale,Net Banking,***Outstanding***,2065.02,15.72,2026-01-18,2026-01-23
ORD-1091,   Nupur Kapoor  ,OnePlus 12,Electronics,Springfield,NJ,USA,Wholesale,COD,--Average--,2431.32,6.07,2026-03-26,2026-03-29
ORD-1092,Ananya Chauhan,Badminton Racket,Sports & Fitness,Springfield,NM,USA,Online,UPI,Satisfied,2123.3,3.45,2024-06-18,2024-06-20
ORD-1093,Vikas Chandra,iPad Air,Electronics,Springfield,OK,USA,Marketplace,Net Banking,Neutral,1979.17,3.77,2024-07-06,2024-07-13
ORD-1094,Isha Venkat,The Alchemist,Books,Portland,HI,USA,Online,Credit Card,Very Satisfied,1895.02,15.59,2026-01-11,2026-01-13
ORD-1095,Pallavi Sethi,Havells Fan,Home & Kitchen,Springfield,MN,USA,Online,Credit Card,****Very Satisfied****,2293.48,15.78,2024-06-22,2024-06-23
ORD-1096,Swati Srivastava,Dell Monitor,Electronics,Memphis,IA,USA,Marketplace,COD,**Good**,1275.86,15.77,2026-01-03,2026-01-08
ORD-1097,   Sneha Venkat,Ray-Ban Aviator,Fashion,Springfield,NJ,USA,Marketplace,Credit Card,***Outstanding***,1681.18,8.7,2026-01-11,2026-01-15
ORD-1098,Gaurav Chopra,Godrej Fridge,Home & Kitchen,Naperville,IL,USA,Marketplace,Credit Card,Neutral,1901.09,19.37,2026-01-12,2026-01-13
ORD-1099,Anand Bhatt  ,Philips Air Fryer,Home & Kitchen,Richmond,MA,USA,Retail,UPI,Satisfied,226.26,1.66,2024-10-04,2024-10-08
ORD-1100,Vikram Pandey,Realme Buds,Electronics,Memphis,OK,USA,Online,Debit Card,**Good**,1422.96,1.43,2024-06-07,2024-06-08
ORD-1101,Kunal Bhatt,Dumbbells Set,Sports & Fitness,San Diego,CA,USA,Wholesale,COD,Neutral,2096.71,2.18,2026-06-08,2026-06-10
ORD-1102,Priya Singh,Puma Sneakers,Fashion,Springfield,AR,USA,Retail,Wallet,***Outstanding***,1927.53,11.99,2025-12-07,2025-12-13
ORD-1103,Pooja Agarwal  ,Cricket Bat,Sports & Fitness,Springfield,IA,USA,Wholesale,Debit Card,Satisfied,2444.4,11.95,2024-08-12,2024-08-18
ORD-1104,Reema Kumar,Pigeon Mixer,Home & Kitchen,Portland,NC,USA,Retail,Wallet,**Good**,1096.29,6.9,2024-12-04,2024-12-09
ORD-1105,Shreya Naik,iPad Air,Electronics,Richmond,UT,USA,Marketplace,Net Banking,Very Satisfied,1086.44,19.16,2025-09-04,2025-09-07
ORD-1106,Megha Kamath,Canon Camera,Electronics,Springfield,MA,USA,Online,Debit Card,--Average--,1322.28,15.78,2026-03-17,2026-03-18
ORD-1107,Naveen Khanna,Samsung Galaxy S21,Electronics,Miami,FL,USA,Online,Credit Card,Neutral,2491.48,13.39,2024-01-01,2024-01-03
ORD-1108,Aditya Bhatt,Puma Sneakers,Fashion,Memphis,OK,USA,Online,Credit Card,Dissatisfied,1154.73,17.01,2024-10-16,2024-10-21
ORD-1109,Kavya Srivastava,Realme Buds,Electronics  ,Springfield,MN,USA,Wholesale,Credit Card,Satisfied,1216.5,0.58,2024-03-31,2024-04-05
ORD-1110,   Pallavi Ghosh,Fastrack Watch,Fashion,Portland,KS,USA,Marketplace,Net Banking,***Outstanding***,860.15,13.66,2025-05-12,2025-05-19
ORD-1111,Harsh Chandra  ,Zara Jacket,Fashion,Memphis,MS,USA,Marketplace,Debit Card,Very Satisfied,824.73,10.81,2026-04-20,2026-04-25
ORD-1112,   Piyush Malhotra,Bose Headphones,Electronics,Portland,NV,USA,Online,Wallet,Dissatisfied,324.55,1.81,2026-05-26,2026-05-30
ORD-1113,Yash Dubey,Pigeon Mixer,Home & Kitchen,Tampa,FL,USA,Online,Wallet,Dissatisfied,1795.05,9.85,2026-05-08,2026-05-11
ORD-1114,Bhavna Verma,Clean Code,Books,Los Angeles,CA,USA,Retail,Wallet,Dissatisfied,964.61,5.56,2024-10-27,2024-11-01
ORD-1115,Vivek Bose,Canon Camera,Electronics,Portland,NV,USA,Retail,Net Banking,**Good**,2402.91,19.46,2025-05-05,2025-05-09
ORD-1116,   Girish Chopra,Lenovo ThinkPad,Electronics,Portland,OR,USA,Marketplace,Credit Card,**Good**,1945.1,8.53,2024-08-17,2024-08-22
ORD-1117,   Sweta Dubey,Dettol Sanitizer,Health & Personal Care,Memphis,NE,USA,Online,Credit Card,***Outstanding***,300.05,14.59,2024-03-15,2024-03-18
ORD-1118,Vivek Mukherjee,MacBook Pro,Electronics,Cincinnati,OH,USA,Wholesale,Credit Card,***Outstanding***,1250.82,4.97,2026-04-14,2026-04-15
ORD-1119,Vikram Shetty,The Lean Startup,Books,Springfield,TN,USA,Marketplace,Net Banking,Dissatisfied,924.63,9.18,2025-04-16,2025-04-20
ORD-1120,   Manish Deshpande,Sapiens,Books,Pittsburgh,PA,USA,Online,Net Banking,***Outstanding***,2256.35,18.44,2026-04-24,2026-04-26
ORD-1121,Anand Deshpande,HP Laptop,Electronics,Portland,NJ,USA,Retail,COD,**Good**,986.46,19.5,2025-02-07,2025-02-10
ORD-1122,Sunita Iyer,iPad Air,Electronics,Portland,KS,USA,Online,UPI,##Excellent##,802.05,11.35,2024-10-24,2024-10-26
ORD-1123,Arun Kumar,The Alchemist,Books,Richmond,MO,USA,Marketplace,COD,Satisfied,2486.0,5.17,2025-01-26,2025-02-01
ORD-1124,Monali Sharma,Realme Buds,Electronics,Springfield,NV,USA,Marketplace,UPI,**Good**,2192.26,13.91,2024-11-14,2024-11-17
ORD-1125,   Arun Goyal,Allen Solly Shirt,Fashion  ,Richmond,TN,USA,Wholesale,Net Banking,***Outstanding***,1772.69,18.88,2024-03-18,2024-03-23
ORD-1126,Akash Mukherjee,Nivea Cream,Health & Personal Care,Richmond,NC,USA,Wholesale,Wallet,Very Satisfied,416.36,13.08,2026-01-15,2026-01-16
ORD-1127,Pranav Agarwal,The Alchemist,Books,Seattle,WA,USA,Marketplace,COD,****Very Satisfied****,72.58,16.88,2026-05-16,2026-05-23
ORD-1128,Meenakshi Naik,The Lean Startup,Books  ,Orlando,FL,USA,Online,Net Banking,Very Satisfied,2090.24,14.39,2025-07-13,2025-07-19
ORD-1129,   Vikas Menon,Godrej Fridge,Home & Kitchen,Denver,CO,USA,Retail,Net Banking,Satisfied,1458.24,8.52,2026-04-06,2026-04-11
ORD-1130,Tanu Saxena,Zero to One,Books,Richmond,MA,USA,Online,COD,##Excellent##,247.82,18.49,2024-07-27,2024-08-02
ORD-1131,Meera Rao,Whey Protein,Sports & Fitness,Boulder,CO,USA,Online,UPI,##Excellent##,2482.55,9.21,2025-06-22,2025-06-27
ORD-1132,Megha Rao,Godrej Fridge,Home & Kitchen,Harrisburg,PA,USA,Wholesale,COD,**Good**,1803.13,11.89,2025-10-29,2025-11-03
ORD-1133,Kavya Goyal,Samsung Galaxy S21,Electronics,Albany,NY,USA,Marketplace,Debit Card,***Outstanding***,2071.37,15.55,2025-10-09,2025-10-15
ORD-1134,   Vikas Goyal,JBL Speaker,Electronics  ,Spokane,WA,USA,Retail,Credit Card,***Outstanding***,1651.69,13.47,2025-06-29,2025-07-01
ORD-1135,Manish Reddy,Zara Jacket,Fashion  ,Springfield,UT,USA,Wholesale,Credit Card,--Average--,2480.21,12.87,2024-07-02,2024-07-03
ORD-1136,Manya Yadav,Instant Pot,Home & Kitchen,Colorado Springs,CO,USA,Wholesale,Net Banking,Neutral,448.59,2.61,2025-09-08,2025-09-10
ORD-1137,Tanu Iyer,Cricket Bat,Sports & Fitness,Jacksonville,FL,USA,Marketplace,UPI,****Very Satisfied****,2375.78,19.45,2024-11-05,2024-11-06
ORD-1138,Kriti Chopra,Puma Sneakers,Fashion,Portland,WI,USA,Online,Debit Card,##Excellent##,1932.16,16.76,2024-06-24,2024-07-01
ORD-1139,Girish Srivastava  ,Nivea Cream,Health & Personal Care  ,Memphis,NE,USA,Wholesale,Net Banking,Very Satisfied,64.38,19.12,2024-10-25,2024-10-29
ORD-1140,Tanu Tiwari,Dumbbells Set,Sports & Fitness,Richmond,NM,USA,Retail,Net Banking,Satisfied,431.53,7.73,2024-02-06,2024-02-13
ORD-1141,   Manya Iyer,Samsung Galaxy S21,Electronics,Richmond,MN,USA,Retail,Debit Card,Satisfied,561.05,3.04,2024-02-24,2024-03-01
ORD-1142,Sweta Chandra,iPad Air,Electronics,Springfield,AZ,USA,Online,Net Banking,Very Satisfied,39.64,5.18,2025-11-29,2025-12-02
ORD-1143,Ananya Deshpande,Allen Solly Shirt,Fashion,San Diego,CA,USA,Marketplace,UPI,***Outstanding***,851.69,17.62,2025-07-13,2025-07-19
ORD-1144,   Disha Ghosh,iPad Air,Electronics,San Diego,CA,USA,Retail,Net Banking,Very Satisfied,76.1,17.54,2024-10-06,2024-10-13
ORD-1145,Sunita Mishra,Cricket Bat,Sports & Fitness,Richmond,NE,USA,Retail,COD,##Excellent##,2049.5,12.3,2025-10-12,2025-10-16
ORD-1146,Ashwin Pandey,Samsung Galaxy S21,Electronics,Richmond,AR,USA,Wholesale,Wallet,Neutral,30.73,4.69,2026-02-24,2026-02-28
ORD-1147,Tanvi Hegde,Zara Jacket,Fashion,Colorado Springs,CO,USA,Online,Net Banking,Dissatisfied,2325.94,11.63,2024-09-20,2024-09-24
ORD-1148,Siddharth Rao,Dumbbells Set,Sports & Fitness,Richmond,OK,USA,Retail,UPI,--Average--,709.33,6.59,2026-02-18,2026-02-23
ORD-1149,Reema Menon,Cricket Bat,Sports & Fitness,Memphis,MN,USA,Retail,Credit Card,--Average--,715.09,1.59,2025-12-11,2025-12-17
ORD-1150,   Vikas Bhat,MacBook Pro,Electronics,Richmond,MS,USA,Retail,COD,**Good**,1055.24,7.26,2024-06-13,2024-06-18
ORD-1151,   Ravi Deshpande,Dettol Sanitizer,Health & Personal Care,Portland,NV,USA,Wholesale,Net Banking,Satisfied,472.48,16.2,2026-02-06,2026-02-10
ORD-1152,Sonal Reddy,Bose Headphones,Electronics,Portland,MO,USA,Retail,Wallet,Neutral,1523.33,6.28,2026-02-23,2026-02-26
ORD-1153,Anjali Kumar,Apple Watch,Electronics,Augusta,GA,USA,Wholesale,Debit Card,****Very Satisfied****,1711.42,12.05,2024-06-01,2024-06-08
ORD-1154,   Preeti Mukherjee,Instant Pot,Home & Kitchen,New York,NY,USA,Online,Credit Card,Satisfied,917.76,8.99,2026-01-10,2026-01-11
ORD-1155,Ravi Kumar,Atomic Habits,Books,Richmond,MO,USA,Retail,COD,Dissatisfied,1856.23,17.79,2024-02-12,2024-02-13
ORD-1156,   Akash Bhatt,Levi Jeans,Fashion,San Francisco,CA,USA,Wholesale,Net Banking,****Very Satisfied****,2488.38,12.23,2024-02-08,2024-02-10
ORD-1157,Rahul Rao,Realme Buds,Electronics,Springfield,IN,USA,Online,UPI,**Good**,1422.99,2.26,2025-10-23,2025-10-28
ORD-1158,   Rohini Chauhan,Sony TV,Electronics,Richmond,AZ,USA,Wholesale,COD,Dissatisfied,1209.11,11.29,2025-12-14,2025-12-17
ORD-1159,Mohit Yadav,The Alchemist,Books,Richmond,NV,USA,Wholesale,Net Banking,****Very Satisfied****,1423.86,4.61,2026-02-22,2026-02-24
ORD-1160,Mohit Saxena  ,Apple Watch,Electronics,Richmond,MS,USA,Retail,Wallet,--Average--,822.54,19.86,2025-01-19,2025-01-22
ORD-1161,Yash Sen,Badminton Racket,Sports & Fitness  ,Buffalo,NY,USA,Retail,Net Banking,Neutral,2084.07,12.97,2026-02-23,2026-03-01
ORD-1162,Nikhil Deshpande,Bose Headphones,Electronics,Jacksonville,FL,USA,Wholesale,Debit Card,Very Satisfied,489.5,9.92,2024-04-02,2024-04-08
ORD-1163,   Gaurav Malhotra,Canon Camera,Electronics,Memphis,NM,USA,Retail,Debit Card,Very Satisfied,621.84,3.37,2026-04-13,2026-04-18
ORD-1164,Amit Das,Zara Jacket,Fashion,Colorado Springs,CO,USA,Online,COD,****Very Satisfied****,1784.13,16.58,2025-09-21,2025-09-23
ORD-1165,Akash Pillai,OnePlus 12,Electronics,Springfield,TN,USA,Marketplace,Debit Card,Very Satisfied,1684.72,12.33,2025-05-15,2025-05-18
ORD-1166,Jyoti Bhatt,Himalaya Face Wash,Health & Personal Care,Richmond,IA,USA,Retail,Debit Card,Neutral,210.95,7.5,2025-01-26,2025-01-31
ORD-1167,Siddharth Hegde,Zero to One,Books,Portland,MA,USA,Online,Net Banking,--Average--,2420.72,15.63,2024-08-26,2024-08-29
ORD-1168,Bhavna Verma,Nike Air Max,Fashion  ,Richmond,UT,USA,Marketplace,Net Banking,**Good**,2401.49,10.79,2024-04-13,2024-04-20
