EMP_ID,FIRST_NAME,LAST_NAME,DEPARTMENT,JOB_TITLE,SALARY,HIRE_DATE,MANAGER_ID,OFFICE_CITY,PERFORMANCE_RATING,IS_ACTIVE
2026,Meera,Singh,HR,Recruiter,144098.27,2022-09-05,2010,Chennai,GOOD,TRUE
2027,Sunita,Arora,Finance,Finance Manager,217632.39,2024-07-28,,Hyderabad,GOOD,FALSE
2028,Lakshmi,Deshpande,Sales,Sales Director,110886.03,2015-12-27,,Visakhapatnam,GOOD,FALSE
2029,Rohan,Yadav,Marketing,Brand Manager,114331.8,2019-05-28,,Bhubaneswar,EXCEPTIONAL,TRUE
2030,Komal,Iyer,Engineering,QA Engineer,120528.91,2018-06-26,2022,Goa,AVERAGE,TRUE
2031,Tarun,Nair,Operations,Ops Executive,126416.53,2017-05-10,2024,Dehradun,EXCEPTIONAL,TRUE
2032,Manish,Gupta,Finance,Analyst,74783.25,2020-12-22,2027,Bhopal,AVERAGE,TRUE
2033,Komal,Hegde,Marketing,SEO Specialist,102791.89,2023-03-13,2013,Dehradun,EXCEPTIONAL,TRUE
2034,Geeta,Goyal,Product,Scrum Master,148702.84,2015-03-11,,Indore,POOR,TRUE
2035,Sanjay,Sen,Finance,Analyst,149550.55,2018-01-05,2027,Ahmedabad,AVERAGE,TRUE
2036,Rahul,Reddy,Marketing,Marketing Manager,189352.86,2015-06-11,,Mumbai,AVERAGE,TRUE
2037,Jyoti,Nair,Product,Product Manager,176885.77,2024-01-26,,Dehradun,AVERAGE,TRUE
2038,Divya,Patel,Sales,Business Development Rep,85477.07,2018-12-24,2028,Vadodara,AVERAGE,TRUE
2039,Shubham,Bose,Finance,Finance Manager,282096.4,2020-06-04,,Delhi,POOR,TRUE
2040,Vikas,Sethi,Product,Product Manager,90431.88,2015-12-26,,Mumbai,AVERAGE,TRUE
2041,Sakshi,Srivastava,Operations,Ops Executive,45121.34,2020-12-16,2024,Chennai,AVERAGE,FALSE
2042,Pallavi,Mishra,Legal,Legal Counsel,120819.46,2019-08-20,,Jaipur,AVERAGE,FALSE
2043,Ravi,Rao,Legal,Contract Specialist,97557.07,2018-05-11,,Chennai,EXCEPTIONAL,TRUE
2044,Bhavna,Khanna,Engineering,Architect,135551.99,2018-04-04,2022,Chennai,POOR,TRUE
2045,Ashwin,Reddy,Legal,Paralegal,108062.64,2020-09-24,,Patna,GOOD,TRUE
2046,Jyoti,Shetty,HR,HR Executive,68493.39,2018-05-27,2010,Nagpur,GOOD,TRUE
2047,Rahul,Joshi,Product,Product Owner,30343.78,2024-12-17,2040,Mangaluru,POOR,TRUE
2048,Pooja,Mishra,HR,Recruiter,131346.44,2015-07-08,2010,Thiruvananthapuram,POOR,TRUE
2049,Mohit,Menon,IT,IT Manager,125251.96,2022-03-02,,Ahmedabad,GOOD,FALSE
2050,Rahul,Pillai,Finance,CFO,59004.74,2021-05-01,2039,Chennai,GOOD,TRUE
2051,Pallavi,Shetty,Product,Scrum Master,135017.62,2015-01-19,2037,Visakhapatnam,AVERAGE,FALSE
2052,Isha,Arora,Engineering,Tech Lead,124916.62,2023-05-03,,Nagpur,AVERAGE,TRUE
2053,Neha,Saxena,Legal,Legal Manager,185422.66,2016-06-24,,Bhopal,AVERAGE,TRUE
2054,Sneha,Yadav,Operations,Ops Executive,125508.13,2020-10-05,2011,Bhopal,GOOD,TRUE
2055,Varun,Mehta,Sales,Business Development Rep,58202.12,2023-10-10,2002,Nagpur,EXCEPTIONAL,TRUE
2056,Tanu,Sethi,Operations,Ops Executive,61257.23,2022-10-21,2024,Visakhapatnam,EXCEPTIONAL,TRUE
2057,Aarti,Mishra,Legal,Legal Manager,189903.74,2020-09-23,,Mangaluru,AVERAGE,TRUE
2058,Bhavna,Pillai,Analytics,Analytics Manager,239027.58,2024-04-05,,Kochi,POOR,TRUE
2059,Rajesh,Das,HR,HR Manager,123155.03,2017-03-28,,Raipur,EXCEPTIONAL,TRUE
2060,Fatima,Bhatt,Finance,Accounts Executive,51776.9,2023-01-08,2027,Ranchi,POOR,TRUE
2061,Tushar,Kumar,Legal,Legal Counsel,135660.79,2016-11-16,2053,Dehradun,POOR,TRUE
2062,Pallavi,Kulkarni,IT,Cloud Engineer,111905.04,2015-01-24,2049,Dehradun,GOOD,TRUE
2063,Yash,Dubey,HR,HR Executive,122807.85,2022-05-04,2059,Patna,GOOD,TRUE
2064,Pooja,Nair,IT,IT Manager,273855.45,2024-06-18,,Mangaluru,AVERAGE,TRUE
2065,Bhavna,Srivastava,Product,Product Manager,274354.57,2017-04-16,,Ahmedabad,AVERAGE,TRUE
2066,Mohit,Verma,Marketing,Marketing Manager,201450.29,2025-05-13,,Hyderabad,GOOD,TRUE
2067,Rohan,Hegde,Sales,Business Development Rep,64747.77,2018-03-21,2002,Bhopal,GOOD,TRUE
2068,Megha,Bhat,IT,System Admin,106215.97,2019-05-22,2049,Delhi,EXCEPTIONAL,TRUE
2069,Nupur,Pillai,Analytics,BI Developer,69090.0,2021-02-24,2058,Delhi,AVERAGE,TRUE
2070,Shreya,Mehta,HR,People Ops Lead,275115.01,2017-05-19,,Patna,EXCEPTIONAL,FALSE
2071,Vishal,Goyal,Finance,Financial Planner,134276.79,2021-04-19,2027,Bhopal,EXCEPTIONAL,TRUE
2072,Meenakshi,Sharma,Operations,Supply Chain Analyst,72254.64,2019-01-31,2024,Bhopal,GOOD,TRUE
2073,Deepak,Shetty,Product,UX Designer,37123.66,2022-11-10,2037,Lucknow,POOR,TRUE
2074,Suresh,Venkat,HR,HR Manager,190269.26,2024-02-24,,Kolkata,GOOD,TRUE
2075,Reema,Bose,HR,HR Manager,166116.88,2020-11-29,,Raipur,GOOD,TRUE
2076,Mohit,Yadav,Analytics,Data Analyst,107355.37,2016-07-18,2058,Gurgaon,EXCEPTIONAL,TRUE
2077,Meenakshi,Bajaj,Product,Product Analyst,114522.03,2016-06-10,2040,Vadodara,EXCEPTIONAL,TRUE
2078,Girish,Kapoor,Sales,Sales Executive,56236.26,2018-02-11,2002,Goa,EXCEPTIONAL,TRUE
2079,Piyush,Saxena,Legal,Compliance Officer,56244.42,2023-03-29,2057,Bhubaneswar,GOOD,TRUE
2080,Rohini,Bhatt,Engineering,DevOps Engineer,52686.23,2018-11-06,2052,Lucknow,AVERAGE,TRUE
2081,Deepak,Agarwal,Legal,Legal Counsel,61341.58,2023-03-04,2057,Noida,AVERAGE,TRUE
2082,Komal,Bose,HR,HR Executive,67169.5,2021-12-06,2074,Delhi,GOOD,TRUE
2083,Sanjay,Kapoor,Operations,Warehouse Manager,271908.85,2025-01-11,,Mysuru,GOOD,TRUE
2084,Jyoti,Bhatt,Sales,Sales Manager,252219.15,2020-08-09,,Goa,GOOD,TRUE
2085,Varun,Malhotra,IT,Network Engineer,105010.01,2018-02-11,2049,Raipur,GOOD,TRUE
2086,Piyush,Kamath,Marketing,Digital Marketing Exec,52291.02,2021-06-11,2029,Dehradun,GOOD,TRUE
2087,Naveen,Bajaj,Operations,Supply Chain Analyst,99339.84,2020-02-24,2024,Chennai,AVERAGE,TRUE
2088,Pranav,Verma,Finance,CFO,130885.38,2024-01-20,2027,Jaipur,GOOD,TRUE
2089,Bhavna,Pillai,Analytics,Data Analyst,45355.63,2022-02-17,2058,Bhopal,GOOD,TRUE
2090,Pooja,Hegde,Product,Product Owner,94298.75,2022-03-02,2040,Thiruvananthapuram,GOOD,TRUE
2091,Deepak,Joshi,Engineering,Senior Developer,43031.32,2019-07-30,2022,Mangaluru,AVERAGE,TRUE
2092,Siddharth,Yadav,Sales,Sales Director,224075.85,2017-05-13,,Bhubaneswar,EXCEPTIONAL,TRUE
2093,Reema,Naik,Product,Product Analyst,68139.07,2025-02-25,2037,Nagpur,GOOD,TRUE
2094,Meenakshi,Hegde,Legal,Paralegal,91782.7,2019-09-26,2053,Indore,AVERAGE,TRUE
2095,Dhruv,Bhat,Analytics,Senior Analyst,142184.65,2021-12-08,2058,Jaipur,AVERAGE,TRUE
2096,Disha,Agarwal,IT,System Admin,129961.4,2019-01-15,2064,Mangaluru,EXCEPTIONAL,TRUE
2097,Kunal,Rao,Marketing,Content Lead,277073.94,2020-08-17,,Bhubaneswar,AVERAGE,TRUE
2098,Meera,Deshpande,IT,Cloud Engineer,58595.57,2022-08-22,2064,Jaipur,GOOD,TRUE
2099,Divya,Bose,Sales,Sales Director,217441.47,2019-06-18,,Nagpur,EXCEPTIONAL,TRUE
2100,Mohit,Nair,IT,Network Engineer,32198.22,2021-01-03,2064,Pune,GOOD,TRUE
2101,Kiran,Deshpande,HR,Recruiter,105554.35,2023-12-03,2010,Patna,EXCEPTIONAL,TRUE
2102,Pallavi,Malhotra,Product,Product Manager,87938.88,2016-07-23,,Thiruvananthapuram,GOOD,TRUE
2103,Ashwin,Gupta,Finance,Analyst,69362.57,2018-08-28,2027,Thiruvananthapuram,POOR,TRUE
2104,Suresh,Chauhan,Analytics,Data Scientist,66989.09,2021-01-04,2058,Mumbai,GOOD,TRUE
2105,Simran,Menon,Finance,Analyst,146607.81,2022-09-20,2039,Ahmedabad,AVERAGE,TRUE
2106,Tanu,Singh,Legal,Paralegal,126329.7,2019-02-26,2057,Pune,AVERAGE,TRUE
2107,Shubham,Menon,Product,Product Owner,139284.32,2024-08-31,2037,Ranchi,AVERAGE,FALSE
2108,Aarti,Kulkarni,Marketing,Content Lead,87486.21,2020-12-11,,Chandigarh,POOR,TRUE
2109,Raj,Banerjee,Product,Scrum Master,33334.15,2020-02-29,2065,Delhi,AVERAGE,TRUE
2110,Rahul,Dubey,Legal,Compliance Officer,95820.34,2021-12-02,2057,Lucknow,AVERAGE,TRUE
2111,Vivek,Kapoor,Sales,Sales Manager,215840.02,2018-01-25,,Visakhapatnam,GOOD,TRUE
2112,Ashwin,Gupta,HR,HR Manager,205754.52,2023-01-21,,Delhi,POOR,TRUE
2113,Siddharth,Bajaj,Analytics,Data Analyst,121162.72,2021-05-06,2058,Indore,AVERAGE,TRUE
2114,Rohini,Mishra,Analytics,Data Analyst,115840.67,2018-10-14,2058,Bhopal,EXCEPTIONAL,TRUE
2115,Divya,Arora,IT,IT Support,64807.19,2015-08-02,2064,Chandigarh,GOOD,TRUE
2116,Nikhil,Iyer,Operations,Supply Chain Analyst,144652.84,2024-09-21,2083,Vadodara,AVERAGE,TRUE
2117,Geeta,Venkat,Analytics,Data Scientist,128640.78,2016-05-26,2058,Hyderabad,EXCEPTIONAL,TRUE
2118,Arun,Joshi,Finance,Financial Planner,123191.19,2018-04-02,2027,Lucknow,GOOD,TRUE
2119,Ashwin,Dubey,Engineering,DevOps Engineer,41604.89,2024-08-12,2052,Bhopal,GOOD,TRUE
2120,Vivek,Patel,Sales,Sales Manager,107156.27,2019-01-26,,Bhopal,GOOD,TRUE
2121,Yash,Goyal,Legal,Compliance Officer,127700.23,2015-09-27,2057,Noida,GOOD,TRUE
2122,Sanjay,Rao,Engineering,QA Engineer,124514.46,2020-09-07,2052,Visakhapatnam,EXCEPTIONAL,TRUE
2123,Preeti,Roy,Product,Product Owner,85397.72,2016-07-06,2102,Ranchi,AVERAGE,TRUE
2124,Varun,Arora,HR,HR Director,159562.78,2019-06-12,,Surat,AVERAGE,TRUE
2125,Geeta,Venkat,Marketing,Marketing Manager,128858.57,2020-11-02,,Coimbatore,AVERAGE,TRUE
2126,Naveen,Sethi,Engineering,Senior Developer,134399.0,2023-01-13,2022,Thiruvananthapuram,EXCEPTIONAL,TRUE
2127,Lakshmi,Tiwari,Marketing,Content Lead,82074.95,2022-02-06,,Kolkata,GOOD,TRUE
2128,Sunita,Verma,Analytics,BI Developer,49102.34,2015-12-25,2058,Kochi,GOOD,TRUE
2129,Shubham,Bose,Legal,Compliance Officer,137893.44,2018-11-12,2053,Vadodara,GOOD,TRUE
2130,Reema,Tiwari,Product,Product Analyst,148016.09,2024-03-23,2102,Chandigarh,AVERAGE,TRUE
2131,Ashwin,Bajaj,Analytics,Data Scientist,41835.44,2020-11-07,2058,Thiruvananthapuram,GOOD,TRUE
2132,Pooja,Reddy,Legal,Legal Counsel,81558.74,2017-10-15,2053,Jaipur,AVERAGE,TRUE
2133,Ankita,Verma,Operations,Ops Executive,96489.11,2016-08-04,2024,Raipur,POOR,TRUE
2134,Meera,Khanna,Finance,Accounts Executive,101117.5,2018-12-16,2039,Kolkata,AVERAGE,TRUE
2135,Raj,Joshi,Legal,Compliance Officer,110455.59,2016-11-07,2057,Vadodara,EXCEPTIONAL,TRUE
2136,Komal,Kapoor,Analytics,Senior Analyst,126635.62,2017-03-12,2058,Ranchi,AVERAGE,FALSE
2137,Saurabh,Sen,HR,People Ops Lead,197018.82,2015-04-01,,Vadodara,AVERAGE,TRUE
2138,Yash,Yadav,IT,System Admin,87793.19,2021-05-13,2064,Bhubaneswar,POOR,TRUE
2139,Kriti,Jain,IT,Cloud Engineer,90036.42,2017-03-25,2049,Goa,POOR,TRUE
2140,Rajesh,Mehta,Sales,Sales Executive,69777.4,2015-02-14,2002,Dehradun,AVERAGE,TRUE
2141,Dhruv,Bhat,Finance,Finance Manager,245866.5,2018-04-06,,Gurgaon,EXCEPTIONAL,TRUE
2142,Deepak,Malhotra,Marketing,Content Lead,122379.92,2023-02-10,,Delhi,AVERAGE,TRUE
2143,Tanu,Agarwal,Marketing,Brand Manager,262653.55,2021-11-01,,Indore,AVERAGE,TRUE
2144,Priya,Ghosh,Legal,Compliance Officer,97588.82,2021-07-15,2057,Bhopal,GOOD,TRUE
2145,Aman,Kumar,Finance,CFO,65344.42,2019-10-07,2027,Pune,GOOD,TRUE
2146,Pooja,Pandey,Analytics,Data Scientist,131300.2,2018-04-18,2058,Surat,GOOD,TRUE
2147,Piyush,Deshpande,Engineering,Tech Lead,183251.78,2022-08-11,,Nagpur,AVERAGE,TRUE
2148,Isha,Srivastava,Operations,Warehouse Manager,271893.18,2025-03-10,,Raipur,AVERAGE,TRUE
2149,Siddharth,Chatterjee,Operations,Logistics Lead,202185.85,2022-07-11,,Visakhapatnam,AVERAGE,TRUE
2150,Isha,Bajaj,Product,Product Owner,148234.33,2021-10-23,2065,Ranchi,AVERAGE,TRUE
2151,Piyush,Pandey,IT,IT Manager,96569.48,2019-06-25,,Mumbai,GOOD,TRUE
2152,Lakshmi,Jain,IT,IT Support,59888.19,2018-05-18,2064,Thiruvananthapuram,AVERAGE,TRUE
2153,Sonal,Shetty,Engineering,DevOps Engineer,69488.93,2022-10-11,2052,Bengaluru,GOOD,TRUE
2154,Amit,Jain,Engineering,DevOps Engineer,106545.88,2024-02-13,2052,Patna,POOR,TRUE
2155,Ashwin,Naik,Engineering,Senior Developer,42120.04,2023-10-03,2052,Kochi,AVERAGE,TRUE
2156,Yash,Goyal,Operations,Logistics Lead,172293.83,2021-05-18,,Indore,EXCEPTIONAL,TRUE
2157,Tushar,Bajaj,Product,Product Manager,260184.61,2017-10-20,,Delhi,POOR,TRUE
2158,Ravi,Bajaj,Operations,Ops Executive,41296.28,2017-05-30,2024,Nagpur,AVERAGE,TRUE
2159,Monali,Venkat,Marketing,Content Lead,240670.66,2023-03-06,,Bhubaneswar,POOR,TRUE
2160,Yash,Bhatt,Analytics,Senior Analyst,142316.67,2021-11-27,2058,Ahmedabad,GOOD,TRUE
2161,Vivek,Arora,Sales,Business Development Rep,92982.24,2019-11-19,2084,Surat,AVERAGE,TRUE
2162,Arun,Chopra,Sales,Sales Manager,209929.02,2018-06-20,,Chandigarh,POOR,TRUE
2163,Aman,Bhat,Operations,Ops Executive,100130.12,2017-02-14,2148,Vadodara,AVERAGE,TRUE
2164,Manya,Bajaj,IT,IT Manager,215550.83,2024-06-24,,Patna,AVERAGE,TRUE
2165,Siddharth,Joshi,Engineering,DevOps Engineer,70300.44,2015-05-16,2052,Gurgaon,GOOD,TRUE
2166,Swati,Bhatt,Engineering,Developer,141085.06,2017-10-18,2022,Jaipur,GOOD,TRUE
2167,Komal,Chatterjee,Sales,Sales Manager,255780.19,2015-04-23,,Kochi,GOOD,TRUE
2168,Manish,Rao,Analytics,Data Analyst,128701.42,2018-12-12,2058,Kochi,GOOD,TRUE
2169,Sakshi,Srivastava,Product,Product Manager,199921.31,2017-03-20,,Hyderabad,AVERAGE,TRUE
2170,Neha,Kulkarni,Engineering,Architect,46495.63,2025-06-24,2147,Bhopal,POOR,TRUE
2171,Siddharth,Saxena,Engineering,Architect,99428.29,2019-11-25,2052,Raipur,AVERAGE,TRUE
2172,Kavya,Nair,IT,Network Engineer,68253.78,2023-08-30,2164,Thiruvananthapuram,AVERAGE,TRUE
2173,Ritika,Naik,HR,HR Manager,203180.25,2022-12-16,,Lucknow,EXCEPTIONAL,TRUE
2174,Rohini,Kamath,Product,Product Manager,298260.61,2022-04-28,,Bengaluru,GOOD,TRUE
2175,Vishal,Das,Legal,Legal Counsel,121285.93,2018-03-19,2057,Pune,POOR,TRUE
2176,Sanjay,Kumar,Product,UX Designer,102604.63,2021-08-01,2037,Ahmedabad,AVERAGE,TRUE
2177,Varun,Bhatt,Legal,Compliance Officer,50800.0,2018-10-05,2057,Noida,GOOD,TRUE
2178,Tanvi,Malhotra,IT,IT Support,126369.38,2023-05-25,2049,Coimbatore,EXCEPTIONAL,TRUE
2179,Vikas,Roy,Operations,Ops Executive,47081.06,2019-05-11,2156,Pune,GOOD,TRUE
2180,Swati,Mehta,Analytics,Senior Analyst,58079.25,2022-03-09,2058,Bhopal,GOOD,TRUE
2181,Sweta,Pandey,Engineering,Tech Lead,243829.45,2017-06-16,,Bhubaneswar,AVERAGE,FALSE
2182,Dhruv,Malhotra,Analytics,Senior Analyst,109451.01,2021-08-27,2058,Kochi,GOOD,TRUE
2183,Harsh,Shetty,Sales,Business Development Rep,91884.47,2022-02-16,2120,Thiruvananthapuram,GOOD,TRUE
2184,Kriti,Mishra,Product,Product Manager,260336.33,2021-10-04,,Coimbatore,AVERAGE,FALSE
2185,Nupur,Shetty,Finance,Financial Planner,65810.73,2020-07-07,2027,Nagpur,GOOD,TRUE
2186,Nikhil,Hegde,Operations,Supply Chain Analyst,103644.79,2015-08-11,2083,Lucknow,GOOD,TRUE
2187,Ankita,Hegde,Legal,Legal Counsel,131289.96,2021-11-28,2053,Bhubaneswar,EXCEPTIONAL,FALSE
2188,Nisha,Shetty,Analytics,Data Analyst,89260.37,2021-07-07,2058,Bengaluru,GOOD,TRUE
2189,Simran,Shetty,Analytics,Senior Analyst,47612.52,2016-09-03,2058,Bengaluru,AVERAGE,TRUE
2190,Monali,Mukherjee,Product,UX Designer,46603.98,2023-02-27,2040,Jaipur,GOOD,FALSE
2191,Akash,Malhotra,Legal,Legal Counsel,104807.79,2015-10-08,2053,Mysuru,GOOD,TRUE
2192,Aditya,Dubey,Engineering,Tech Lead,101369.66,2019-05-20,,Nagpur,AVERAGE,TRUE
2193,Anand,Saxena,Legal,Legal Manager,271439.42,2017-03-18,,Ahmedabad,EXCEPTIONAL,TRUE
2194,Aman,Dubey,Finance,Accounts Executive,111723.22,2022-07-24,2141,Mangaluru,POOR,TRUE
2195,Pranav,Chandra,Operations,Logistics Lead,257777.53,2021-06-17,,Chandigarh,EXCEPTIONAL,TRUE
2196,Disha,Saxena,Analytics,BI Developer,75772.03,2018-10-19,2058,Bhopal,EXCEPTIONAL,TRUE
2197,Saurabh,Rao,IT,Cloud Engineer,92842.38,2019-08-06,2064,Vadodara,AVERAGE,FALSE
2198,Piyush,Dubey,IT,System Admin,121103.03,2020-06-08,2049,Mumbai,GOOD,TRUE
2199,Vikas,Mishra,Analytics,BI Developer,119664.72,2024-04-24,2058,Bhopal,GOOD,TRUE
2200,Piyush,Kapoor,Engineering,Tech Lead,294242.24,2022-09-12,,Chennai,AVERAGE,TRUE
2201,Geeta,Chopra,Marketing,Brand Manager,279724.0,2024-02-12,,Mangaluru,AVERAGE,TRUE
2202,Aditya,Mukherjee,HR,Recruiter,86298.78,2020-10-04,2124,Coimbatore,GOOD,TRUE
2203,Girish,Shetty,Finance,Analyst,75504.85,2024-01-19,2141,Gurgaon,GOOD,TRUE
2204,Arjun,Verma,Analytics,Senior Analyst,33780.97,2017-04-10,2058,Kochi,AVERAGE,TRUE
2205,Kriti,Venkat,HR,People Ops Lead,269279.14,2022-01-20,,Indore,GOOD,TRUE
2206,Kavya,Venkat,IT,IT Support,126029.0,2022-01-15,2151,Kochi,GOOD,FALSE
2207,Naveen,Srivastava,Sales,Account Manager,231893.72,2023-04-02,,Mangaluru,GOOD,FALSE
2208,Arjun,Hegde,Engineering,Tech Lead,118204.14,2018-11-13,,Hyderabad,AVERAGE,TRUE
2209,Komal,Banerjee,Product,Product Owner,73598.89,2022-03-16,2037,Bengaluru,EXCEPTIONAL,TRUE
2210,Rahul,Khanna,IT,Network Engineer,68320.7,2017-03-22,2049,Bengaluru,EXCEPTIONAL,TRUE
2211,Deepak,Sethi,Operations,Ops Manager,291121.38,2020-09-22,,Patna,GOOD,TRUE
2212,Tanvi,Yadav,HR,People Ops Lead,238943.69,2020-03-23,,Bhopal,EXCEPTIONAL,TRUE
2213,Manish,Das,Finance,CFO,41519.73,2021-12-10,2039,Mumbai,GOOD,TRUE
2214,Arun,Rao,Analytics,Senior Analyst,99413.73,2016-11-22,2058,Vadodara,GOOD,FALSE
2215,Fatima,Jain,Analytics,Analytics Manager,223605.12,2019-12-27,,Chandigarh,AVERAGE,TRUE
2216,Vikas,Malhotra,IT,System Admin,41300.81,2023-09-22,2151,Bhubaneswar,GOOD,TRUE
2217,Jyoti,Kapoor,Marketing,Digital Marketing Exec,108954.77,2022-04-14,2201,Bengaluru,POOR,TRUE
2218,Arun,Bhatt,Operations,Supply Chain Analyst,117551.62,2018-12-02,2211,Coimbatore,AVERAGE,TRUE
2219,Kunal,Bose,Product,Product Analyst,30513.85,2018-06-15,2169,Thiruvananthapuram,GOOD,TRUE
2220,Shreya,Kumar,Sales,Business Development Rep,52250.92,2016-03-21,2002,Noida,POOR,TRUE
2221,Vivek,Das,Legal,Compliance Officer,47476.92,2021-07-19,2193,Gurgaon,AVERAGE,TRUE
2222,Aditya,Chatterjee,HR,HR Director,139827.16,2016-12-24,,Thiruvananthapuram,GOOD,TRUE
2223,Neha,Verma,Sales,Sales Executive,125730.43,2019-05-04,2012,Noida,AVERAGE,TRUE
2224,Jyoti,Arora,Product,Scrum Master,119172.3,2018-01-16,2157,Pune,GOOD,FALSE
2225,Aditya,Kulkarni,Product,Product Analyst,32595.06,2020-01-13,2102,Jaipur,GOOD,TRUE
2226,Sakshi,Chatterjee,Legal,Compliance Officer,46487.96,2015-12-22,2053,Bhopal,EXCEPTIONAL,TRUE
2227,Divya,Iyer,Finance,Finance Manager,219129.09,2023-05-11,,Coimbatore,EXCEPTIONAL,TRUE
2228,Tarun,Saxena,Engineering,Developer,100361.13,2017-05-26,2052,Chennai,GOOD,TRUE
2229,Shreya,Sen,IT,IT Manager,285759.08,2015-07-12,,Raipur,AVERAGE,TRUE
2230,Megha,Srivastava,HR,HR Executive,148950.11,2016-11-04,2173,Chandigarh,EXCEPTIONAL,TRUE
2231,Amit,Jain,HR,Recruiter,55134.23,2025-06-24,2212,Noida,GOOD,TRUE
2232,Ravi,Kumar,Analytics,Analytics Manager,191208.98,2020-01-27,,Bengaluru,GOOD,TRUE
2233,Bhavna,Jain,HR,Recruiter,116497.53,2018-04-20,2070,Mumbai,POOR,FALSE
2234,Ravi,Verma,HR,People Ops Lead,129130.94,2023-11-06,,Mangaluru,EXCEPTIONAL,TRUE
2235,Girish,Hegde,Analytics,Data Analyst,109909.87,2020-07-23,2215,Raipur,GOOD,TRUE
2236,Manya,Sharma,Sales,Sales Director,233160.9,2015-04-22,,Chandigarh,GOOD,TRUE
2237,Meera,Pillai,Sales,Business Development Rep,32548.07,2019-02-25,2099,Mysuru,GOOD,TRUE
2238,Monali,Bhatt,HR,People Ops Lead,284706.75,2017-09-15,,Delhi,POOR,TRUE
2239,Ritika,Arora,HR,HR Manager,197790.02,2024-03-09,,Patna,AVERAGE,TRUE
2240,Tarun,Venkat,Marketing,Digital Marketing Exec,91039.29,2015-01-20,2201,Ranchi,EXCEPTIONAL,TRUE
2241,Rohini,Ghosh,IT,Cloud Engineer,133678.25,2015-05-22,2151,Bhubaneswar,AVERAGE,TRUE
2242,Priya,Singh,Legal,Legal Counsel,56670.73,2025-04-01,2053,Kochi,GOOD,TRUE
2243,Nikhil,Arora,Sales,Sales Executive,89412.05,2020-05-12,2111,Ranchi,EXCEPTIONAL,TRUE
2244,Sneha,Sen,Sales,Account Manager,118286.16,2023-01-29,,Chandigarh,AVERAGE,TRUE
2245,Neha,Kulkarni,Sales,Account Manager,90661.96,2019-10-08,,Gurgaon,EXCEPTIONAL,TRUE
2246,Sonal,Yadav,Finance,Accounts Executive,93103.33,2019-02-20,2027,Kolkata,GOOD,TRUE
